github.com/AlDanial/cloc v 2.06  T=3.14 s (527.8 files/s, 100190.2 lines/s)
--------------------------------------------------------------------------------------------------------------------------------------
File                                                                                               blank        comment           code
lib/test-utils/factories/loyalty-factory.ts                                                           49             63            288
app/[clinic]/consent/[token]/page.tsx                                                                 25              7            287
app/[clinic]/portal/prescriptions/new/client.tsx                                                      20              4            287
app/actions/pets.ts                                                                                   47             30            287
components/calendar/time-off-request-form.tsx                                                         32             12            287
app/setup/page.tsx                                                                                    21              2            286
components/landing/pricing-quiz.tsx                                                                   29              5            286
components/clients/bulk-actions/BulkDiscountModal.tsx                                                 22              0            285
components/landing/trial-offer.tsx                                                                    21              0            285
app/[clinic]/page.tsx                                                                                 29              8            284
components/pets/tabs/pet-appointments-tab.tsx                                                         25              1            284
components/dashboard/activity-feed.tsx                                                                28             14            282
components/pets/pet-detail-content.tsx                                                                33             11            282
lib/billing/grace-period.ts                                                                           63            104            282
app/[clinic]/dashboard/patients/page.tsx                                                              38             11            281
components/dashboard/quick-search.tsx                                                                 28             18            281
lib/gdpr/types.ts                                                                                     26             86            281
components/consent/preference-center.tsx                                                              26             13            280
components/cart/cart-item.tsx                                                                         22              8            279
components/dashboard/clients/segment-customer-list.tsx                                                18              1            278
components/dashboard/today-focus.tsx                                                                  28             18            278
app/[clinic]/portal/epidemiology/client.tsx                                                           19              7            277
components/portal/inventory/ProductEditModal.tsx                                                      19              8            276
app/[clinic]/portal/notifications/page.tsx                                                            33              5            275
lib/metadata-usage-guide.md                                                                           70              0            275
app/[clinic]/dashboard/calendar/page.tsx                                                              32             19            274
components/inventory/catalog-product-card.tsx                                                         21              1            274
lib/cron/handler.ts                                                                                   71            146            274
app/api/hospitalizations/route.ts                                                                     37             18            273
app/actions/create-pet.ts                                                                             45             22            271
app/api/clients/export/route.ts                                                                       34             23            271
lib/hooks/use-tenant-features.tsx                                                                     55            104            271
app/[clinic]/portal/pets/[id]/page.tsx                                                                30             17            269
app/api/staff/time-off/types/route.ts                                                                 49             36            269
app/platform/ambassadors/analytics.tsx                                                                26              1            269
lib/backup/integrity.ts                                                                               32             31            269
components/hospital/treatment-sheet.tsx                                                               23              0            268
components/clients/bulk-actions/ExportModal.tsx                                                       20              2            267
components/dashboard/global-search.tsx                                                                13              5            267
components/dashboard/upcoming-vaccines.tsx                                                            20             10            267
